Date,Symbol,Prev Close,Open,High,Low,Last Price,Close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,MACD,Signal_Line,histogram,up,down,RSI,SMA5,SMA10,SMA20,EMA,#NAME?,#NAME?,ADX14
10-09-2020,INFY,927.75,935.3,942,924.8,939.65,940.05,934.08,5172091,4831122432,101735,2082999,40.27,3.438948202,7.214593642,-3.77564544,12.3,0,46.91575608,930.26,928.885,940.705,934.2438863,1.2,0,15.06072629
11-09-2020,INFY,940.05,934.9,954.15,931,944.5,945.7,945.41,6672082,6307865396,124065,2587438,38.78,4.116463202,6.594967554,-2.478504352,5.65,0,49.41820671,935.57,929.93,940.31,935.3349447,0,12.15,15.0245119
14-09-2020,INFY,945.7,957,991.05,948.3,975,978.4,976.06,21871591,21347911660,342353,7898631,36.11,7.208915544,6.717757152,0.491158392,32.7,0,61.8879056,946.24,934.91,941.355,939.4363786,0,36.9,17.10322632
15-09-2020,INFY,978.4,979.5,994,971.65,981.4,982.45,982.27,11608223,11402371129,252665,4776790,41.15,9.872701105,7.348745942,2.523955163,4.05,0,59.83835872,954.87,941.74,942.1,943.5329139,0,2.95,19.88117185
16-09-2020,INFY,982.45,986,1005.65,982,1001.8,1001.75,991.46,10059392,9973473916,239939,4103847,40.8,13.38680431,8.556357616,4.830446694,19.3,0,65.50453515,969.67,949.515,944.2225,949.0773983,0,11.65,22.12404504
17-09-2020,INFY,1001.75,995,1021,995,1011,1011,1010.52,15628308,15792764186,340784,7204674,46.1,16.72535463,10.19015702,6.53519761,9.25,0,71.78602243,983.86,957.06,947.015,954.974789,0,15.35,26.2217322
18-09-2020,INFY,1011,1011,1018.8,999.1,1003.4,1002.15,1007.23,12897897,12991132019,228827,7647298,59.29,18.44444273,11.84101416,6.60342857,0,-8.85,70.888952,995.15,965.36,949.6825,959.4676662,0,0,29.97839218
21-09-2020,INFY,1002.15,1001,1031,1000.5,1007,1009.9,1019.34,14140790,14414221201,284118,5910877,41.8,20.19934716,13.51268076,6.6866664,7.75,0,78.26985533,1001.45,973.845,952.8075,964.2707456,0,12.2,34.14812788
22-09-2020,INFY,1009.9,1009,1022.5,991.2,1008,1007.5,1007.79,12625775,12724148446,307283,4743936,37.57,21.1526273,15.04067007,6.11195723,0,-2.4,75.78752316,1006.46,980.665,956.2775,968.3878175,9.3,0,36.48196435
23-09-2020,INFY,1007.5,1020.15,1037,1008.1,1019.85,1019.75,1024.08,13486274,13810988923,258509,4569223,33.88,22.6356516,16.55966637,6.07598523,12.25,0,75.89175892,1010.06,989.865,959.725,973.2794539,0,14.5,40.92733895
24-09-2020,INFY,1019.75,1003,1009,970,977.75,975.4,986.71,14427463,14235738440,273411,6468889,44.84,20.00171734,17.24807657,2.75364077,0,-44.35,64.75990554,1002.94,993.4,961.1425,973.4814107,38.1,0,42.12664396
25-09-2020,INFY,975.4,975.8,1014.9,975,1006.6,1011.45,998.29,13311079,13288352062,230269,5010827,37.64,20.58593732,17.91564872,2.6702886,36.05,0,69.57408246,1004.8,999.975,964.9525,977.0974668,0,5.9,43.46239159
28-09-2020,INFY,1011.45,1014.8,1016.15,998.5,1010.9,1010.4,1004.87,8554583,8596234609,165917,3569074,41.72,20.72530126,18.47757923,2.24772203,0,-1.05,67.13253012,1004.9,1003.175,969.0425,980.2691366,0,1.25,45.84888851
29-09-2020,INFY,1010.4,1018,1028,1004.1,1013.85,1009,1016.65,8708572,8853558130,184552,2763406,31.73,20.48662285,18.87938795,1.6072349,0,-1.4,70.58525462,1005.2,1005.83,973.785,983.0054093,0,11.85,48.86790282
30-09-2020,INFY,1009,1009,1023.95,1005,1006,1008.25,1011.93,8049899,8145908490,141642,3906361,48.53,20.00632925,19.10477621,0.90155304,0,-0.75,68.35306781,1002.9,1006.48,977.9975,985.4096561,0,0,51.982305
01-10-2020,INFY,1008.25,1020.6,1026.5,1011.75,1018.7,1017.65,1016.4,5563432,5654650743,122973,2805180,50.42,20.15189604,19.31420018,0.83769586,9.4,0,68.97916117,1011.35,1007.145,982.1025,988.480165,0,2.55,53.73322373
05-10-2020,INFY,1017.65,1018.05,1054.9,1018.05,1047.6,1048.7,1043.67,14212560,14833226247,239001,6831622,48.07,22.51321593,19.95400333,2.5592126,31.05,0,68.70675891,1018.8,1011.8,988.58,994.2153874,0,28.4,53.53241791
06-10-2020,INFY,1048.7,1055,1060,1031.35,1056.45,1055.75,1044.46,9090819,9494983884,205608,4208832,46.3,24.66908518,20.8970197,3.77206548,7.05,0,69.19853326,1027.87,1016.385,995.115,1000.075827,0,5.1,53.46560179
07-10-2020,INFY,1055.75,1044.9,1072,1035.5,1070.1,1066.55,1053.29,9284060,9778824469,176585,4299670,46.31,26.93856582,22.10532892,4.8332369,10.8,0,67.76315789,1039.38,1022.29,1001.4775,1006.4067,0,12,53.27330715
08-10-2020,INFY,1066.55,1090,1124,1088.4,1094.5,1093.7,1105.97,21483024,23759656746,386362,7155542,33.31,30.5754687,23.79935688,6.77611182,27.15,0,70.64403395,1056.47,1029.685,1009.775,1014.720348,0,52,52.73121217
09-10-2020,INFY,1093.7,1095.1,1113.3,1088.45,1111.2,1106.8,1100.16,10567955,11626421247,173995,4167784,39.44,34.12146989,25.86377948,8.25769041,13.1,0,75.58054265,1074.3,1042.825,1018.1125,1023.489839,0,0,50.70866856
12-10-2020,INFY,1106.8,1123,1140,1112.1,1139.2,1132.1,1125.5,14633780,16470282643,191485,6083892,41.57,38.52906091,28.39683577,10.13222514,25.3,0,77.51013057,1090.98,1054.89,1027.4325,1033.833663,0,26.7,48.598691
13-10-2020,INFY,1132.1,1135.55,1166.05,1135.55,1160,1157.8,1149.41,17524137,20142492308,316392,6796788,38.79,43.59336657,31.43614193,12.15722464,25.7,0,80.62347188,1111.39,1069.63,1036.4025,1045.639981,0,26.05,48.08715767
14-10-2020,INFY,1157.8,1162,1164.9,1131.1,1138,1137,1144.19,16649731,19050428947,279112,6334380,38.04,45.40507765,34.22992907,11.17514858,0,-20.8,73.085253,1125.48,1082.43,1044.13,1054.340935,4.45,0,47.27263839
15-10-2020,INFY,1137,1180,1186,1092.5,1113.25,1108.25,1128.17,44288566,49965128164,697193,7348874,16.59,44.01362534,36.18666833,7.82695701,0,-28.75,77.86868051,1128.39,1092.43,1049.455,1059.475132,38.6,0,48.37512605
16-10-2020,INFY,1108.25,1113.85,1135.95,1096.9,1129.5,1127.5,1118.76,18366133,20547237503,311640,4373549,23.81,43.95748891,37.74083244,6.21665647,19.25,0,76.19047619,1132.53,1103.415,1055.28,1065.953691,0,0,49.19184747
19-10-2020,INFY,1127.5,1135,1139,1115.3,1127.55,1125.9,1125,12902146,14514954127,215472,7226329,56.01,43.284932,38.84965235,4.43527965,0,-1.6,76.00180099,1131.29,1111.135,1061.4675,1071.662863,0,3.05,50.57401212
20-10-2020,INFY,1125.9,1118.9,1144.7,1110,1135.9,1137.5,1136.69,10448852,11877155840,209442,4993783,47.79,43.19008049,39.71773798,3.47234251,11.6,0,77.6582006,1127.23,1119.31,1067.8475,1077.933067,0,5.7,51.57441196
21-10-2020,INFY,1137.5,1141.15,1154.35,1135,1146.75,1148.35,1147.11,19811809,22726337788,283354,13640245,68.85,43.48909905,40.4720102,3.01708885,10.85,0,78.89851485,1129.5,1127.49,1074.89,1084.639441,0,9.65,52.63852307
22-10-2020,INFY,1148.35,1142,1158,1123.8,1135.35,1129.05,1138.64,11271538,12834266054,264809,5439757,48.26,41.68816945,40.71524205,0.9729274,0,-19.3,72.07689259,1133.66,1131.025,1080.355,1088.869018,11.2,0,53.32866057
23-10-2020,INFY,1129.05,1133,1135,1120.15,1122.4,1122.5,1125.55,9070121,10208894083,152888,4907723,54.11,39.27959873,40.42811338,-1.14851465,0,-6.55,66.19841967,1132.66,1132.595,1087.71,1092.071969,3.65,0,53.5513653
26-10-2020,INFY,1122.5,1122.25,1129.6,1103.15,1114.2,1112.45,1115.89,6309643,7040841830,133779,2868270,45.46,36.14320175,39.57113106,-3.42792931,0,-10.05,62.28336222,1129.97,1130.63,1092.76,1094.012734,17,0,52.79382971
27-10-2020,INFY,1112.45,1105.7,1109.7,1077.15,1094.5,1090.85,1089.56,10172530,11083562406,261137,5201636,51.13,31.55094541,37.96709393,-6.41614852,0,-21.6,55.02897351,1120.64,1123.935,1096.7825,1093.711521,26,0,50.6871082
