,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
22-02-2022,DEEPAKNTR,EQ,2004.8,1919,1988,1905,1971.5,1978.55,1963.66,1400825,2.75074E+14,100659,609909,0.4354,22-02-2022,-103.8028701,-77.41838504,0,-26.25,17.25108779,2110.059952,2201.410012,2300.778498,2140.432828,2049.053896,1964.119881,95,0,39.56132841
23-02-2022,DEEPAKNTR,EQ,1978.55,2005,2052.8,1995,2017.85,2014.4,2026.31,801634,1.62436E+14,45953,232765,0.2904,23-02-2022,-105.5207093,-83.03884988,35.85,0,22.89176766,2092.667233,2183.599535,2289.547969,2139.17877,2048.777769,1964.453968,0,64.8,41.4784319
24-02-2022,DEEPAKNTR,EQ,2014.4,1930,1974.5,1842.55,1862,1855.35,1908.02,1369200,2.61246E+14,137344,477107,0.3485,24-02-2022,-118.3518287,-90.10144564,0,-159.05,15.10195703,2049.518645,2152.337674,2272.520598,2136.354603,2047.236512,1963.729025,152.45,0,44.42812982
25-02-2022,DEEPAKNTR,EQ,1855.35,1939.25,2009,1910,2001,1996.55,1977.08,1125596,2.22539E+14,63677,289216,0.2569,25-02-2022,-115.7921436,-95.23958523,141.2,0,29.39011567,2039.887983,2137.500753,2261.698221,2134.963512,2046.832635,1963.947104,0,34.5,46.92115712
28-02-2022,DEEPAKNTR,EQ,1996.55,1990,2019,1945.55,1998,1999.05,1992.47,864642,1.72277E+14,58709,205621,0.2378,28-02-2022,-112.2676935,-98.64520689,2.5,0,30.61765592,2032.462895,2124.314967,2251.398291,2133.611139,2046.451897,1964.180346,0,10,49.0374938
02-03-2022,DEEPAKNTR,EQ,1999.05,1995,2029,1935.4,1952,1941.65,1970.22,1321644,2.60393E+14,87726,589236,0.4458,02-03-2022,-112.8058857,-101.4773426,0,-57.4,29.07748655,2015.951459,2106.918303,2239.251299,2131.701078,2045.616822,1964.030643,10.15,0,51.41895239
03-03-2022,DEEPAKNTR,EQ,1941.65,1985,2000.85,1962,1980,1974.9,1973.97,562340,1.11004E+14,41918,173335,0.3082,03-03-2022,-109.2895874,-103.0397916,33.25,0,32.30086008,2008.487558,2094.345132,2228.884582,2130.140868,2045.053342,1964.102864,0,0,53.05438637
04-03-2022,DEEPAKNTR,EQ,1974.9,1961,1961,1901.7,1916,1913.7,1924.65,657165,1.26481E+14,62355,225736,0.3435,04-03-2022,-110.1712388,-104.466081,0,-61.2,32.9189344,1991.253456,2077.140833,2216.524402,2127.987228,2044.006701,1963.767962,60.3,0,54.81213272
07-03-2022,DEEPAKNTR,EQ,1913.7,1888.7,1888.7,1810.25,1841,1830.65,1844.7,781215,1.44111E+14,79735,322545,0.4129,07-03-2022,-116.2315498,-106.8191748,0,-83.05,35.58776167,1962.052828,2053.665516,2201.392073,2125.028648,2042.306648,1962.883457,91.45,0,56.14591829
08-03-2022,DEEPAKNTR,EQ,1830.65,1839,1899.8,1825,1884,1888,1856.82,571706,1.06155E+14,45483,141199,0.247,08-03-2022,-115.0801519,-108.4713702,57.35,0,34.18971081,1948.588677,2037.887848,2189.102187,2122.670154,2041.077113,1962.385892,0,11.1,58.25961709
