,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
08-07-2021,BAJFINANCE,EQ,6198.6,6180,6220.9,6080.4,6119.95,6117.8,6146.28,1130560,6.94874E+14,77633,337543,0.2986,08-07-2021,93.42280414,103.182685,0,-80.8,52.3699422,6091.376415,6031.972344,5817.291354,5441.432492,5400.562535,5371.650914,80,0,25.94555542
09-07-2021,BAJFINANCE,EQ,6117.8,6083,6171,6061.05,6129.45,6136.15,6126.39,1447544,8.86822E+14,100618,426107,0.2944,09-07-2021,90.90000898,100.7261498,18.35,0,51.57878242,6099.517067,6041.894026,5829.795614,5448.345104,5406.42379,5376.730642,19.35,0,28.3280152
12-07-2021,BAJFINANCE,EQ,6136.15,6175,6198.9,6103.6,6144,6149.55,6158.97,978740,6.02803E+14,73823,243123,0.2484,12-07-2021,88.9565084,98.37222149,13.4,0,62.01683715,6108.613964,6052.146976,5842.335002,5455.322267,5412.345114,5381.865655,0,27.9,30.35005259
13-07-2021,BAJFINANCE,EQ,6149.55,6185,6225,6140,6146,6154.3,6171.9,1002127,6.18503E+14,72552,335230,0.3345,13-07-2021,86.79899076,96.05757534,4.75,0,62.47526534,6116.920516,6061.875835,5854.568923,5462.277269,5418.257105,5386.998109,0,26.1,32.97297742
14-07-2021,BAJFINANCE,EQ,6154.3,6150,6182,6120,6134.95,6133.9,6145.23,776574,4.77223E+14,54246,232220,0.299,14-07-2021,82.49211522,93.34448332,0,-20.4,58.23454313,6120.007695,6068.73528,5865.523083,5468.960082,5423.959439,5391.960912,20,0,34.74519141
15-07-2021,BAJFINANCE,EQ,6133.9,6133.9,6177.2,6102,6121.8,6129.7,6139.75,870990,5.34766E+14,71716,260205,0.2987,15-07-2021,77.84265871,90.2441184,0,-4.2,55.17970402,6121.769932,6074.541443,5875.882962,5475.534609,5429.58287,5396.862833,18,0,35.77730397
16-07-2021,BAJFINANCE,EQ,6129.7,6125,6190,6097.2,6130,6125.45,6140.17,963121,5.91373E+14,66589,287733,0.2988,16-07-2021,72.97379496,86.79005371,0,-4.25,59.0983944,6122.439035,6079.389877,5885.669905,5482.001429,5435.127628,5401.703944,0,12.8,37.28482883
19-07-2021,BAJFINANCE,EQ,6125.45,6088,6123,5935,6020,6015.4,6041.91,1290532,7.79728E+14,97115,454470,0.3522,19-07-2021,59.54863055,81.34176908,0,-110.05,46.81309216,6102.977392,6073.295603,5890.75736,5487.308877,5439.751312,5405.781658,162.2,0,35.56401454
20-07-2021,BAJFINANCE,EQ,6015.4,6020,6027.95,5868,5965.15,5941.85,5959.31,1401837,8.35399E+14,114178,273763,0.1953,20-07-2021,42.484486,73.57031246,0,-73.55,44.00809717,6073.681503,6060.776974,5892.760993,5491.831674,5443.752098,5409.343574,67,0,34.72138018
22-07-2021,BAJFINANCE,EQ,5941.85,5930,6244,5921.15,6189,6195.55,6178.56,3488591,2.15545E+15,219286,1327059,0.3804,22-07-2021,48.86916493,68.63008295,253.7,0,63.88449848,6095.839411,6073.612501,5904.635071,5498.833847,5449.74252,5414.567537,0,216.05,32.43694692
