Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,-DM,+DM,ADX14
2021-03-02,SUPREMEIND,EQ,2082.85,2100.0,2104.1,2078.1,2090.05,2091.55,2091.51,47348,9902883450000.0,5477,26286,0.5552,2021-03-02,66.51313121198609,59.17748796478974,8.700000000000273,0.0,70.35560344827587,2012.136670559327,1960.284097967804,1857.9543822531118,1721.6157374615325,1707.9532676545982,1698.3980629320654,0.0,0.0,51.216038026825196
2021-03-03,SUPREMEIND,EQ,2091.55,2106.0,2124.0,2080.0,2107.0,2109.6,2109.47,89369,18852122765000.0,6302,51756,0.5791,2021-03-03,70.27672797940477,61.39733596771275,18.049999999999727,0.0,72.04098703471352,2029.8572759121764,1974.5046600661083,1867.8228378510291,1725.4762773872885,1711.1536400238842,1701.1303017165699,0.0,19.90000000000009,49.13540500599798
2021-03-04,SUPREMEIND,EQ,2109.6,2133.0,2133.0,2064.65,2105.0,2089.05,2091.35,35246,7371186009999.999,5645,17414,0.4941,2021-03-04,70.78522427320081,63.27491362881037,0.0,-20.549999999999727,66.81725287727228,2040.6195893826898,1985.4137400598122,1876.4984128372635,1729.0939263685095,1714.164766398196,1703.7078412400476,15.349999999999909,0.0,46.59882323213939
2021-03-05,SUPREMEIND,EQ,2089.05,2110.0,2113.5,2065.0,2085.9,2087.65,2092.94,29064,6082932830000.0,7504,19305,0.6642,2021-03-05,70.26526867120992,64.67298463729028,0.0,-1.400000000000091,65.29929773715307,2049.170573131292,1995.1505267207826,1884.7788672358024,1732.661648494196,1717.1407443551823,1706.2589519294825,0.0,0.0,43.657736561364
2021-03-08,SUPREMEIND,EQ,2087.65,2088.0,2108.25,2054.05,2069.75,2070.0,2075.2,35053,7274190884999.999,10431,22899,0.6533,2021-03-08,67.64917503806942,65.26822271744612,0.0,-17.65000000000009,60.946478873239464,2052.957741652875,2002.27904798547,1892.0424410696926,1736.0182490066916,1719.9523718902008,1708.675835969818,10.949999999999818,0.0,44.53251770350623
2021-03-09,SUPREMEIND,EQ,2070.0,2070.0,2089.0,2005.35,2029.0,2017.3,2022.44,87147,17624970860000.0,29019,59924,0.6876000000000001,2021-03-09,60.624609655545555,64.33950010506601,0.0,-52.700000000000045,62.56072172102706,2046.4745158978067,2003.7096148439966,1896.9545022042144,1738.8170723996598,1722.3216756998406,1710.7264948670286,48.70000000000027,0.0,43.81570766990535
2021-03-10,SUPREMEIND,EQ,2017.3,2056.0,2058.8,1965.7,2003.55,2028.8,1992.91,103775,20681378185000.0,20085,52097,0.502,2021-03-10,55.34753296376107,62.54110667680502,11.5,0.0,60.12564671101257,2043.2609675527506,2006.0991753350445,1902.1249138824805,1741.70247466434,1724.763734060798,1712.839940083859,39.649999999999864,0.0,41.95010080473763
2021-03-12,SUPREMEIND,EQ,2028.8,2045.9,2076.6,2028.85,2052.1,2065.1,2064.77,49042,10126065775000.0,13301,32856,0.67,2021-03-12,53.478056547533924,60.72849665095081,36.299999999999955,0.0,61.19170363265795,2047.2317007249776,2011.7183014936115,1908.5160937302264,1744.9203604885752,1727.4755768172856,1715.1805384886172,0.0,17.799999999999727,39.77676168998771
2021-03-15,SUPREMEIND,EQ,2065.1,2060.05,2060.05,1980.0,1989.7,1994.2,1994.23,89056,17759770415000.0,17841,49504,0.5559000000000001,2021-03-15,45.74809004994813,57.73241533075027,0.0,-70.89999999999986,55.744866754041084,2037.589573320436,2010.0498918275532,1911.8762469172764,1747.4007549115745,1729.6008710259127,1717.0344883989917,48.84999999999991,0.0,37.429510023404745
2021-03-16,SUPREMEIND,EQ,1994.2,1999.0,2099.7,1980.1,2034.05,2035.65,2011.94,61158,12304622620000.0,10735,28586,0.46740000000000004,2021-03-16,42.47705544300834,54.68134335320189,41.450000000000045,0.0,53.28029516891503,2037.2369236258114,2012.4879973677862,1916.7301195871871,1750.2689066039966,1732.0395095037939,1719.1515349877025,0.0,39.649999999999636,35.51903945060187
